Year,CO2 emission
1961,130402.187
1962,143467.708
1963,154083.673
1964,150647.694
1965,165972.087
1966,171765.947
1967,172238.99
1968,187336.029
1969,190724.337
1970,195143.072
1971,205869.047
1972,217849.136
1973,224343.393
1974,231992.755
1975,252201.592
1976,263785.645
1977,279051.366
1978,283096.067
1979,296891.321
1980,314016.211
1981,338838.134
1982,349637.449
1983,378669.088
1984,388118.947
1985,426673.785
1986,457571.927
1987,488481.07
1988,527563.956
1989,579008.299
1990,619154.615
1991,658189.83
1992,699087.881
1993,723697.118
1994,764730.848
1995,811562.105
1996,882324.204
1997,917685.085
1998,936221.77
1999,995766.516
2000,1031853.463
2001,1041152.975
2002,1054258.833
2003,1099597.621
2004,1154320.262
2005,1222563.132
2006,1303717.509
2007,1407607.286
2008,1568379.567
2009,1738645.711
2010,1719690.988
2011,1841776.419
2012,2018503.817
2013,2034752.294
2014,2238377.137
